city,date,pm25,pm10,no2,so2,aqi
Bangalore,11-01-2021,297.8,109.8,8.2,16.1,143.9
Delhi,12-01-2021,147.3,217.6,14.8,38.3,250.9
Mumbai,12-01-2021,203.1,421.2,62.1,79.1,181.2
Chennai,12-01-2021,430.2,225.4,60.5,81.7,191.3
Kolkata,12-01-2021,207.8,49.5,37.8,21.3,395.9
Bangalore,12-01-2021,68.5,541.9,120.7,42.7,107
Delhi,13-01-2021,371.2,413.9,62.8,66.6,18.8
Mumbai,13-01-2021,125.9,352.8,105.1,97.9,359.6
Chennai,13-01-2021,381,171.7,149.6,83,359.6
Kolkata,13-01-2021,197.5,300.3,56.1,22.2,249.1
Bangalore,13-01-2021,396.3,434.3,102.5,48.4,48.4
Delhi,14-01-2021,476.9,337.9,22.8,63.7,195.7
Mumbai,14-01-2021,114.9,542.5,95.5,88,464.7
Chennai,14-01-2021,246.4,394.2,139,5.3,377.7
Kolkata,14-01-2021,144.3,43.8,9.1,69.2,440.2
Bangalore,14-01-2021,141.1,47.6,14.5,82.3,213.8
Delhi,15-01-2021,228.1,79.2,43.8,93.9,413.4
Mumbai,15-01-2021,150.1,583.6,35,79.5,433.7
Chennai,15-01-2021,4.4,449.4,123.7,7.1,288.5
Kolkata,15-01-2021,188.1,548.4,72.6,74.5,358.1
Bangalore,15-01-2021,472.7,155.1,141.8,49.7,73.5
Delhi,16-01-2021,340.6,108,103.2,82.7,273.5
Mumbai,16-01-2021,152.2,50.3,24.4,85.1,235.6
Chennai,16-01-2021,161.1,13,77.9,23.7,340
Kolkata,16-01-2021,108.8,30.5,88.6,58.1,403.2
Bangalore,16-01-2021,0.6,565,139.6,14.7,224.5
Delhi,17-01-2021,178.6,12.5,134.5,51.9,380.4
Mumbai,17-01-2021,69.5,3.7,143.9,1.1,198.6
Chennai,17-01-2021,240.1,329.5,138.8,72.2,121.1
Kolkata,17-01-2021,103.8,339.6,6.2,60.7,304.6
Bangalore,17-01-2021,268.1,54.3,145.8,77.2,268.3
Delhi,18-01-2021,335.2,258.8,124.8,23.3,455.1
Mumbai,18-01-2021,411.7,440.8,37.3,55.4,11.8
Chennai,18-01-2021,415.4,440,92.5,37.9,236.2
Kolkata,18-01-2021,269.9,453,94.7,38.8,306.9
Bangalore,18-01-2021,479.6,482.6,85.8,2.1,202.2
Delhi,19-01-2021,363.5,244.6,14.8,98.4,53.2
Mumbai,19-01-2021,444,1.1,31.8,77.6,416.8
Chennai,19-01-2021,426,225.1,65,55.2,480.9
Kolkata,19-01-2021,111.6,221.1,47.9,92.9,155.3
Bangalore,19-01-2021,355.1,317.4,57.4,46.5,48.7
Delhi,20-01-2021,3.3,507.2,67.1,28.7,430.9
Mumbai,20-01-2021,413,572.3,74.1,8.7,337.9
Chennai,20-01-2021,323.3,266,85.2,79.7,495.3
Kolkata,20-01-2021,427.3,363.9,71.6,72.5,404.4
Bangalore,20-01-2021,344.2,385.4,136,99.9,450.3
Delhi,21-01-2021,392.9,580.8,137.5,2.4,26.2
Mumbai,21-01-2021,388.7,493.1,110.1,9.2,468.6
Chennai,21-01-2021,499,209.5,48.8,4.5,425.5
Kolkata,21-01-2021,36.1,4.7,27.9,51.2,432
Bangalore,21-01-2021,140.5,164.4,65.1,48.8,271.8
Delhi,22-01-2021,280.4,202,7.6,44.2,173.6
Mumbai,22-01-2021,400.2,409.5,97.1,89.9,465.1
Chennai,22-01-2021,471.4,191.1,86.2,18.6,499.4
Kolkata,22-01-2021,472,62.1,48.1,81.3,101.6
Bangalore,22-01-2021,412.6,418.1,143.9,61.7,265.6
Delhi,23-01-2021,408.6,554.9,139.1,55.2,492.3
Mumbai,23-01-2021,248.4,31.8,87.8,81,191.1
Chennai,23-01-2021,56.8,551.4,112.9,91,236.5
Kolkata,23-01-2021,170.4,226.4,37,47.3,150.4
Bangalore,23-01-2021,41.2,266.8,131.2,83.6,0.4
Delhi,24-01-2021,493.2,434,74.7,46.9,491.9
Mumbai,24-01-2021,319.3,484,44.9,6.8,371.5
Chennai,24-01-2021,413,407,87.7,30,219.9
Kolkata,24-01-2021,30.6,147.7,43.9,26.3,382.9
Bangalore,24-01-2021,87.5,100.8,85.5,80,469.6
Delhi,25-01-2021,391.9,595.5,34.9,5.7,246.5
Mumbai,25-01-2021,141.6,297.8,114.7,15.5,368.2
Chennai,25-01-2021,380.5,395.4,121.2,14.9,225.9
Kolkata,25-01-2021,72.3,331.5,104.5,91.5,253.3
Bangalore,25-01-2021,444.4,203.4,74.3,48.7,45
Delhi,26-01-2021,108.9,397.6,41.8,65.1,169
Mumbai,26-01-2021,210,53.6,148.9,71.3,281.7
Chennai,26-01-2021,335.3,263.7,100.7,52.1,116.1
Kolkata,26-01-2021,361.7,282.6,75.9,18.1,98.5
Bangalore,26-01-2021,343.2,384.9,132.5,44.6,416.6
Delhi,27-01-2021,182.4,529.3,121.6,79,336
Mumbai,27-01-2021,174.6,109.7,109.6,34,276.3
Chennai,27-01-2021,403.4,76,131.8,3.3,240.6
Kolkata,27-01-2021,229.3,517,25.9,5.9,416.8
Bangalore,27-01-2021,9.4,555.7,133.7,57.5,392.2
Delhi,28-01-2021,65,168.6,47.9,39.6,447.1
Mumbai,28-01-2021,440.3,582.8,33.3,24.6,299.6
Chennai,28-01-2021,300.5,45.3,36.3,77.6,402.4
Kolkata,28-01-2021,479.9,80.8,2.6,88.8,106.1
Bangalore,28-01-2021,220.7,542.5,99.6,11,73.9
Delhi,29-01-2021,242.4,458.8,108.5,66.5,61.9
Mumbai,29-01-2021,423.1,574.3,56.5,86.6,473
Chennai,29-01-2021,188.6,476.6,48.3,5.2,53.5
Kolkata,29-01-2021,214.5,14.7,37.4,4.2,266.1
Bangalore,29-01-2021,13,301.2,65,13.6,172.9
Delhi,30-01-2021,41.7,501.3,146.9,39.4,263.2
Mumbai,30-01-2021,63.2,555.8,55.9,85.7,401.6
Chennai,30-01-2021,164.2,131.4,101.2,51.5,435.9
Kolkata,30-01-2021,118.1,431.1,139.7,19.5,233.6
Bangalore,30-01-2021,369.5,390.2,91.1,83.8,7.9
Delhi,31-01-2021,133.8,580,59.2,24.6,80.3
Mumbai,31-01-2021,128.7,546.1,149,13.7,340.2
Chennai,31-01-2021,84,265.7,11.5,38.2,221.1
Kolkata,31-01-2021,360.7,295.8,135.6,76.4,40.4
Bangalore,31-01-2021,274.6,55.3,46.3,15.1,241.4
Delhi,01-02-2021,78.8,105.3,78.1,67.9,424.7
Mumbai,01-02-2021,399.5,527.6,76.8,81,239
Chennai,01-02-2021,4.6,62,51.2,2.8,83.1
Kolkata,01-02-2021,135.6,299.7,30.5,57.6,277.6
Bangalore,01-02-2021,462.9,530.5,72,55.3,361.8
Delhi,02-02-2021,115.5,178,147.3,40.4,339.8
Mumbai,02-02-2021,451.8,190.9,116,50.4,111.4
Chennai,02-02-2021,186.3,217.6,35,8.9,168.7
Kolkata,02-02-2021,140.6,380.3,69.9,44.4,477.8
Bangalore,02-02-2021,180.8,353.9,31.1,69.3,413.8
Delhi,03-02-2021,117.3,392.2,41.7,21.2,52.1
Mumbai,03-02-2021,75,503.2,116.1,69.8,387.8
Chennai,03-02-2021,287.6,102,124.8,16.4,105.1
Kolkata,03-02-2021,344.2,160.4,51.2,37.7,201.5
Bangalore,03-02-2021,14.5,489.8,69.8,24.5,107.8
Delhi,04-02-2021,309.2,150.5,129.2,90.3,320.1
Mumbai,04-02-2021,308.3,530.8,96.7,90,105
Chennai,04-02-2021,21.8,31.2,7.5,90.3,466.4
Kolkata,04-02-2021,457.4,590.3,111.8,72.1,16.9
Bangalore,04-02-2021,180.6,548.9,55.6,76.2,104.8
Delhi,05-02-2021,307.4,257,5.4,80.2,93.5
Mumbai,05-02-2021,447.3,359.9,42.5,69.9,202.7
Chennai,05-02-2021,148.4,342.3,129,6.6,214.2
Kolkata,05-02-2021,88.4,422.8,136.8,70.9,202.8
Bangalore,05-02-2021,249.4,307.8,109.4,41.4,217.8
Delhi,06-02-2021,121.1,111.7,120.2,30.7,70.2
Mumbai,06-02-2021,389,124.1,62.8,75.7,41.2
Chennai,06-02-2021,328.3,83.3,54.2,73.8,244.1
Kolkata,06-02-2021,194.8,42.8,114.9,0.8,30.4
Bangalore,06-02-2021,326.8,350.1,47.5,66.4,52.7
Delhi,07-02-2021,78.6,198.1,120.8,33.7,155
Mumbai,07-02-2021,251.6,591.8,29.1,27.8,417.2
Chennai,07-02-2021,266.2,408.8,6.2,56.1,284.6
Kolkata,07-02-2021,63.5,86.6,35.8,41.4,104.4
Bangalore,07-02-2021,349.7,192.2,13.8,87.6,301.3
Delhi,08-02-2021,362.5,532.5,31,74.9,475.2
Mumbai,08-02-2021,11.6,521.4,29,22.5,469.7
Chennai,08-02-2021,234.1,377.6,111.4,52.8,262.6
Kolkata,08-02-2021,136.1,109.8,43.3,28.3,208.2
Bangalore,08-02-2021,274.6,417.5,10.9,97,240.7
Delhi,09-02-2021,469.7,512.2,25.3,76.1,156.8
Mumbai,09-02-2021,185.5,359.1,62.9,71.3,413.3
Chennai,09-02-2021,46,530.5,19,54.7,343.7
Kolkata,09-02-2021,198.9,276,48.2,27,135.8
Bangalore,09-02-2021,446.3,285.1,101.2,25.5,428.5
Delhi,10-02-2021,214.2,156.7,70.9,46.1,266.4
Mumbai,10-02-2021,438.9,524.5,76.6,23.3,393.3
Chennai,10-02-2021,295.4,549.1,59.7,91.1,188.8
Kolkata,10-02-2021,353.5,28,127.4,8,118.4
Bangalore,10-02-2021,47.5,20.8,39.8,10.8,288.7
Delhi,11-02-2021,156.1,40.5,72,25.3,168.8
Mumbai,11-02-2021,57.9,209.6,55,84.7,479
Chennai,11-02-2021,480.6,541.6,52,57,42.7
Kolkata,11-02-2021,417.9,170.1,39.1,44,430.7
Bangalore,11-02-2021,4.1,549.9,22.6,78.9,348.4
Delhi,12-02-2021,339.3,230.4,118.1,33.3,371.4
Mumbai,12-02-2021,45.7,307.3,149,38.1,499.8
Chennai,12-02-2021,196.8,236.9,79.7,97.2,350.8
Kolkata,12-02-2021,139.9,562.7,91.5,72.2,108.1
Bangalore,12-02-2021,372.5,378.2,108,4.3,278.8
Delhi,13-02-2021,347.9,208.6,92.1,15.4,54.4
Mumbai,13-02-2021,39.4,568.2,83.5,25.9,423.1
Chennai,13-02-2021,205.9,89.8,144.5,13.3,476.2
Kolkata,13-02-2021,64,242.7,89,27.5,50.2
Bangalore,13-02-2021,382.6,451.3,84.8,98.5,241.9
Delhi,14-02-2021,40,594.6,41.1,0.3,370.3
Mumbai,14-02-2021,41.5,508.3,123,18.3,146.3
Chennai,14-02-2021,100.3,170.3,58.3,99.2,256.1
Kolkata,14-02-2021,432.4,330.2,77.3,57.3,285.7
Bangalore,14-02-2021,50.3,74.1,30.4,17.4,254.2
Delhi,15-02-2021,3.4,354.3,109.8,57.7,76.9
Mumbai,15-02-2021,79.7,189.6,140,52.6,28.7
Chennai,15-02-2021,321.7,441.1,99.5,68.2,33.7
Kolkata,15-02-2021,23.6,545.7,49.9,42.8,258.7
Bangalore,15-02-2021,278.4,485.5,37.3,34.7,19.5
Delhi,16-02-2021,204.5,312.4,55.9,56.9,423.8
Mumbai,16-02-2021,224.5,436.8,87.3,22.8,180.5
Chennai,16-02-2021,475.2,509.4,85.6,3.5,292.9
Kolkata,16-02-2021,167.8,161.6,137.1,84.2,161.7
Bangalore,16-02-2021,282.7,208.5,116.4,52.1,100.8
Delhi,17-02-2021,409.7,406,75,47.1,306.3
Mumbai,17-02-2021,438.9,566.2,146.3,12.6,136
Chennai,17-02-2021,416,237.5,109.6,89,414.2
Kolkata,17-02-2021,405.2,266.4,59.7,85.4,199.4
Bangalore,17-02-2021,272.8,56.5,58.7,57.2,34
Delhi,18-02-2021,78.2,508.9,61.5,65.3,352.5
Mumbai,18-02-2021,264.3,123.1,118.5,78.4,391
Chennai,18-02-2021,384.6,277,86.5,24,180.2
Kolkata,18-02-2021,42.5,561.8,27.6,79.5,346.6
Bangalore,18-02-2021,129.8,80.5,43.2,63.4,481.2
Delhi,19-02-2021,204.1,11.3,26.1,57.9,311.9
Mumbai,19-02-2021,382.1,104,19.4,87.7,54.1
Chennai,19-02-2021,387.3,165.2,91.9,41.2,473.9
Kolkata,19-02-2021,200.8,240,65.5,65.5,251.4
Bangalore,19-02-2021,301.5,96.7,137.5,67.7,297.6
Delhi,20-02-2021,44.4,419.3,82.8,81.4,447.5
Mumbai,20-02-2021,80.4,40.8,67.1,38.2,331.6
Chennai,20-02-2021,226,62.2,0.7,50.9,94
Kolkata,20-02-2021,443.6,454.3,104.6,12.6,126.3
Bangalore,20-02-2021,107.8,372.5,126.3,19.5,230.8
Delhi,21-02-2021,345.7,13.7,122.7,29.1,205.8
Mumbai,21-02-2021,466.5,77.9,54.2,73.8,477.4
Chennai,21-02-2021,336.2,582.4,82.8,17,211.5
Kolkata,21-02-2021,361.4,365,72.7,95.5,175.7
Bangalore,21-02-2021,428.5,86.3,6.2,12,409.5
Delhi,22-02-2021,237.5,336,50.6,28.8,322
Mumbai,22-02-2021,250.6,555.3,122.4,70.4,110.5
Chennai,22-02-2021,367.2,157.1,97.3,87.8,137.4
Kolkata,22-02-2021,56.5,462.9,122.1,57.8,99.2
Bangalore,22-02-2021,388.8,19.2,85.9,72,338
Delhi,23-02-2021,295.4,308.6,144.7,30.8,468.1
Mumbai,23-02-2021,443.9,81,12.5,23.6,413.6
Chennai,23-02-2021,395,583.5,135.8,56.9,283.1
Kolkata,23-02-2021,173.7,496.9,22.4,4.8,400.7
Bangalore,23-02-2021,119.2,522.2,147.9,51.8,305.7
Delhi,24-02-2021,288.3,560.5,47.2,86.7,250.2
Mumbai,24-02-2021,48.2,205,130.1,50.7,147.9
Chennai,24-02-2021,309,436.2,136.1,98.6,264.4
Kolkata,24-02-2021,423.3,434.9,93.4,98.9,498.8
Bangalore,24-02-2021,17.4,327.2,104.5,81.5,291.6
Delhi,25-02-2021,321.8,281.6,3.7,52.4,106.8
Mumbai,25-02-2021,14.8,360.1,31.8,13.8,311.2
Chennai,25-02-2021,221.8,481,141.8,39.2,125
Kolkata,25-02-2021,496,528,107.9,21.8,471.6
Bangalore,25-02-2021,123.4,237.5,21.8,40.3,255.8
Delhi,26-02-2021,15.6,354.2,31,19.6,325.1
Mumbai,26-02-2021,373.9,543.4,27.8,39.3,38.4
Chennai,26-02-2021,455.9,323.9,133.4,49.1,449.4
Kolkata,26-02-2021,479.1,482.4,109.8,53,475.4
Bangalore,26-02-2021,468.8,38.3,141.1,45.9,367.4
Delhi,27-02-2021,227.9,123.9,124.2,28.3,240.8
Mumbai,27-02-2021,252.1,17.5,95.5,41,126.3
Chennai,27-02-2021,99.6,157.8,3.5,36.5,252.4
Kolkata,27-02-2021,307.1,375.2,38.6,76.5,210.8
Bangalore,27-02-2021,80.7,246.6,111.2,48.8,30.6
Delhi,28-02-2021,192.8,210.7,49.7,38,249
Mumbai,28-02-2021,143.7,405.1,50.5,5.5,136.5
Chennai,28-02-2021,35.1,183.8,60.3,36.4,497.7
Kolkata,28-02-2021,52.2,336,81.8,5.6,319.6
Bangalore,28-02-2021,132.3,378,56.6,52.4,489.3
Delhi,01-03-2021,436.8,37.8,55.3,63.1,160.5
Mumbai,01-03-2021,264.6,160.4,139.2,16.7,344.6
Chennai,01-03-2021,178.3,510.7,79.1,86.2,454
Kolkata,01-03-2021,278,208.9,35.9,79.3,341.4
Bangalore,01-03-2021,482.4,37.4,137.1,34.8,467.2
Delhi,02-03-2021,245.8,30,45.6,25.7,457.4
Mumbai,02-03-2021,148.5,246.8,88.1,80.6,485.1
Chennai,02-03-2021,50.5,321.1,121.6,12.6,290.3
Kolkata,02-03-2021,263.5,374.5,13.7,99,92.9
Bangalore,02-03-2021,164,255.6,73.7,41.7,328.8
Delhi,03-03-2021,367.6,184.7,19.4,20.1,257.2
Mumbai,03-03-2021,1.3,441.9,22.4,7.9,229.2
Chennai,03-03-2021,87.9,270.5,91.5,66.2,364.2
Kolkata,03-03-2021,238.3,100.4,113,56.1,397.1
Bangalore,03-03-2021,450.2,178.3,28.1,81.3,172.9
Delhi,04-03-2021,60.4,294.2,77.1,25.8,231.9
Mumbai,04-03-2021,140.2,41.2,59.3,19.2,132.5
Chennai,04-03-2021,482.9,384.4,79.9,87.5,83.2
Kolkata,04-03-2021,191.8,519.2,90.6,26.9,141.3
Bangalore,04-03-2021,10.1,136.8,149.1,76.1,270.3
Delhi,05-03-2021,243.9,563.1,125.9,41.1,36.6
Mumbai,05-03-2021,256.9,188.9,110.1,35.5,230.1
Chennai,05-03-2021,295.8,85.5,24.3,64.2,98.4
Kolkata,05-03-2021,340.9,317.7,42.6,76.6,300.5
Bangalore,05-03-2021,215.7,205,117.9,65.4,262.3
Delhi,06-03-2021,202.1,76.4,28.3,77.5,246.9
Mumbai,06-03-2021,400.6,320.9,37,21.8,44.8
Chennai,06-03-2021,476.4,191.7,74.2,68.1,490.3
Kolkata,06-03-2021,298,544.4,19.6,33.2,276.4
Bangalore,06-03-2021,242.6,50.9,108.6,0.5,130.3
Delhi,07-03-2021,74.2,9.9,145.2,98.7,67.6
Mumbai,07-03-2021,361.8,430.6,41.2,2.2,258.4
Chennai,07-03-2021,214.4,518.1,3.7,6.7,465.1
Kolkata,07-03-2021,176.8,570.3,128.5,72.6,398
Bangalore,07-03-2021,71.6,140,100.4,60.1,478
Delhi,08-03-2021,369.2,257,109.3,9.6,405.3
Mumbai,08-03-2021,451.2,301.5,120.5,26.9,474.4
Chennai,08-03-2021,171.2,442.8,137.4,40.9,314.5
Kolkata,08-03-2021,31.3,220.9,120.3,23.3,158.4
Bangalore,08-03-2021,380.1,355.7,31.8,55.5,170.9
Delhi,09-03-2021,474,512,123.7,21.6,416.8
Mumbai,09-03-2021,394.4,383.2,54.7,34,410.6
Chennai,09-03-2021,159.7,284.4,146.1,0.8,120.1
Kolkata,09-03-2021,198.9,430.2,130.3,73.7,174.7
Bangalore,09-03-2021,393.8,510.8,33.1,40,491.5
Delhi,10-03-2021,341.3,465.9,8.7,49.4,375.6
Mumbai,10-03-2021,374.9,150.7,24.7,23,109.9
Chennai,10-03-2021,326.1,239.2,71.4,27.9,405.7
Kolkata,10-03-2021,2.8,401.9,5.2,0.7,436.1
Bangalore,10-03-2021,283.8,321.2,57.8,74,246.5
Delhi,11-03-2021,289.4,189.6,52.8,39.5,139.3
Mumbai,11-03-2021,470.3,315.7,109.2,10.4,133.2
Chennai,11-03-2021,405.6,340.8,99,77.2,87.6
Kolkata,11-03-2021,446.4,369.7,141.3,10.6,23.3
Bangalore,11-03-2021,440.9,47.8,4.1,14.9,8.3
Delhi,12-03-2021,21.3,102.7,136.3,46.4,341.4
Mumbai,12-03-2021,272.2,326.7,13.7,6.9,441.2
Chennai,12-03-2021,212.1,356.2,29.4,59.7,300.1
Kolkata,12-03-2021,287.8,115.9,101.9,35.6,277.2
Bangalore,12-03-2021,403.1,370.2,98.6,95.4,324.5
Delhi,13-03-2021,411.6,13.6,79.2,18.7,58.8
Mumbai,13-03-2021,73.5,63,18,64.2,486.5
Chennai,13-03-2021,190.4,142.9,76.8,1.2,313.9
Kolkata,13-03-2021,329.7,413.7,129.4,97.7,193.2
Bangalore,13-03-2021,299.1,455.4,106.6,40.4,425.8
Delhi,14-03-2021,92.8,209.4,23.9,97.6,364.4
Mumbai,14-03-2021,174.4,178.2,138.8,27.7,52.6
Chennai,14-03-2021,415.8,280.8,115.2,84.2,487.6
Kolkata,14-03-2021,452,51.7,9.6,16.1,488
Bangalore,14-03-2021,196.3,338.1,35.6,16.7,461.1
Delhi,15-03-2021,443.4,335.9,2.2,63.7,427.7
Mumbai,15-03-2021,488.6,68.3,92.9,31.3,379.9
Chennai,15-03-2021,99.5,0.7,113.1,17.7,474.6
Kolkata,15-03-2021,452.8,258.6,81.1,60.3,317.4
Bangalore,15-03-2021,434.2,324,101,11.8,240.8
Delhi,16-03-2021,218.5,482.4,23.1,66.8,369.7
Mumbai,16-03-2021,388,364,90.1,93.1,4.4
Chennai,16-03-2021,417.4,409.9,143.2,84.5,494.2
Kolkata,16-03-2021,282.7,449.9,47.7,16.2,73.7
Bangalore,16-03-2021,163.5,586.8,133.6,9.8,0.8
Delhi,17-03-2021,245.3,235.9,3.4,81.8,274.9
Mumbai,17-03-2021,69.5,497.4,116.5,96.9,344.5
Chennai,17-03-2021,432.8,22.2,47.4,58.5,63.1
Kolkata,17-03-2021,36.5,370.9,17.1,4.7,88.9
Bangalore,17-03-2021,129.6,144.1,132.5,90.4,133.5
Delhi,18-03-2021,327.5,16.2,88.9,29.1,15.1
Mumbai,18-03-2021,341.6,60.9,130.5,63.1,294.5
Chennai,18-03-2021,457.7,115.8,10.6,4.3,329
Kolkata,18-03-2021,61.9,55.7,31.6,14.8,77.9
Bangalore,18-03-2021,20.6,14.8,92.9,100,176.2
Delhi,19-03-2021,40.2,36.5,69.7,66.8,303.8
Mumbai,19-03-2021,256.3,393.6,147.6,36.6,249.4
Chennai,19-03-2021,17.2,3,39.5,63.9,225.5
Kolkata,19-03-2021,185.9,213.2,38.5,30.1,160.9
Bangalore,19-03-2021,230.1,136.1,4,2.8,448.6
Delhi,20-03-2021,315.7,476.4,125.8,67.8,198
Mumbai,20-03-2021,403.5,407.4,46,44.1,68.7
Chennai,20-03-2021,400.8,489.8,113.4,63.2,115.5
Kolkata,20-03-2021,430.4,396.7,133.7,51.8,104.8
Bangalore,20-03-2021,325.9,281.3,94.8,20.7,356.9
Delhi,21-03-2021,404.1,164.7,70.4,27.9,223.8
Mumbai,21-03-2021,14.2,508.5,31.8,58.1,270.4
Chennai,21-03-2021,260.1,309.6,56.2,85.1,222.7
Kolkata,21-03-2021,468.6,470.6,63.1,93,360.4
Bangalore,21-03-2021,430.3,210.2,81.3,20.9,491.2
Delhi,22-03-2021,498.8,167.4,126.1,66.8,316.3
Mumbai,22-03-2021,455.3,468.4,18.5,73.3,291.2
Chennai,22-03-2021,11,13.4,86.2,86.3,399.3
Kolkata,22-03-2021,9.1,441.4,120.6,51.4,123.3
Bangalore,22-03-2021,308.9,140.2,19.4,29,299.6
Delhi,23-03-2021,91,582.5,114.3,84,163.7
Mumbai,23-03-2021,469.8,334.2,77.3,42,332.8
Chennai,23-03-2021,123.9,25.7,39.7,14.9,205.4
Kolkata,23-03-2021,345.6,228.4,113.6,28,259.7
Bangalore,23-03-2021,376.3,539.7,104,64.7,278
Delhi,24-03-2021,354.8,594.5,21.4,95.3,332.4
Mumbai,24-03-2021,150.5,375.7,23.8,96.6,57.3
Chennai,24-03-2021,26.2,450.6,100,79.9,497.2
Kolkata,24-03-2021,435.3,433.4,24.9,79.9,60.5
Bangalore,24-03-2021,135.9,369.3,77.3,38.6,119.6
Delhi,25-03-2021,329.1,196.3,43.6,0.5,189.2
Mumbai,25-03-2021,213.2,430.2,95.5,99.6,367.5
Chennai,25-03-2021,256.3,22.4,19.3,41.5,482.1
Kolkata,25-03-2021,409.9,377.4,9.8,78,223.1
Bangalore,25-03-2021,44.7,214.5,62.5,65.1,387.4
Delhi,26-03-2021,478.4,263.2,67,53.9,143.6
Mumbai,26-03-2021,36.2,113,47.1,54.9,80.9
Chennai,26-03-2021,349.9,567.1,41.1,97.3,395
Kolkata,26-03-2021,481.4,504.7,140.8,66.9,113.9
Bangalore,26-03-2021,17.9,25.5,120.3,77,220.3
Delhi,27-03-2021,280.2,484.9,59.7,47.7,264.6
Mumbai,27-03-2021,296.5,95.4,137.2,24.7,30.9
Chennai,27-03-2021,102.5,537.9,142.7,61.2,443.4
Kolkata,27-03-2021,156.6,329.4,115.7,82.5,438.6
Bangalore,27-03-2021,401.4,161.9,92.2,97.4,454.2
Delhi,28-03-2021,373.5,308.3,51,66.6,292.7
Mumbai,28-03-2021,483,590.1,13.9,34.1,415.9
Chennai,28-03-2021,58.7,225.1,60.8,89,389.3
Kolkata,28-03-2021,316.3,65.4,87.9,6.2,219.6
Bangalore,28-03-2021,446.3,46.7,133.7,28.5,328.4
Delhi,29-03-2021,431.8,411.4,59.3,48.3,96.3
Mumbai,29-03-2021,425.6,290.7,78.8,48.9,135.7
Chennai,29-03-2021,275.3,182.8,82.4,1.2,184.5
Kolkata,29-03-2021,324.2,302.2,52.2,42.3,297.8
Bangalore,29-03-2021,178.9,144.2,135,2.8,177.6
Delhi,30-03-2021,174.1,138.8,55.1,62.5,456.6
Mumbai,30-03-2021,322.4,247.7,25.8,4.8,202.2
Chennai,30-03-2021,168.4,407.2,116.8,28.6,260.2
Kolkata,30-03-2021,336,426.2,50.9,31.9,283.9
Bangalore,30-03-2021,297.9,116.6,36.1,65.4,94.2
Delhi,31-03-2021,204,223,145.1,10,304.4
Mumbai,31-03-2021,311.6,526.6,99.5,18.4,222.9
Chennai,31-03-2021,288,86.2,15.3,12.2,73.3
Kolkata,31-03-2021,205,121.8,87.3,52.1,197.2
Bangalore,31-03-2021,499,80.6,6.8,53.5,280.2
Delhi,01-04-2021,409.7,127,17,35.9,372.4
Mumbai,01-04-2021,400.9,485.3,96.1,57.5,199.8
Chennai,01-04-2021,143,326.6,35.3,43.9,334.4
Kolkata,01-04-2021,121.7,588.4,78.7,51.3,147.4
Bangalore,01-04-2021,350.8,433.6,22.2,87.5,185
Delhi,02-04-2021,315.1,221.1,106.6,17.8,3.2
Mumbai,02-04-2021,353.1,180.7,17.3,43.5,199.2
Chennai,02-04-2021,284.1,173.8,89.2,53.2,40
Kolkata,02-04-2021,294.4,212.5,87.1,92.7,181.9
Bangalore,02-04-2021,240.2,560.8,12,18.7,146.5
Delhi,03-04-2021,357.1,118.7,29.3,90.2,251.8
Mumbai,03-04-2021,432.3,72,146.9,25.4,198.3
Chennai,03-04-2021,267.6,565.3,112.7,34.2,372
Kolkata,03-04-2021,412.5,484.4,27.5,86.6,162.4
Bangalore,03-04-2021,277.2,369.3,116,4.8,310.6
Delhi,04-04-2021,302.2,307,40.9,28.5,471.8
Mumbai,04-04-2021,147.5,379.9,70.1,96.9,128.9
Chennai,04-04-2021,436.7,571.2,74.2,95.4,232.5
Kolkata,04-04-2021,259.1,344.7,139.6,11.6,292.5
Bangalore,04-04-2021,217.5,332.1,23.6,83,165
Delhi,05-04-2021,446.7,238,94.4,52.3,250.9
Mumbai,05-04-2021,49.6,27.4,139.8,30.9,423.4
Chennai,05-04-2021,285.8,306.8,73.5,7.2,50.9
Kolkata,05-04-2021,220.5,568,24.8,79.6,99.9
Bangalore,05-04-2021,404.9,328.4,79.2,4.2,491.9
Delhi,06-04-2021,79.8,423.5,23,50.2,353.8
Mumbai,06-04-2021,181.8,21.8,91.5,9.6,205.8
Chennai,06-04-2021,194,409.3,45.6,82.8,475.5
Kolkata,06-04-2021,224,159.9,112.9,29.4,332.8
Bangalore,06-04-2021,189.6,80.9,85.6,24,472.9
Delhi,07-04-2021,161.4,16.7,98.4,32.6,322.5
Mumbai,07-04-2021,196.7,518.2,107.6,99.5,370.3
Chennai,07-04-2021,15.5,465.5,32.6,43.3,233.8
Kolkata,07-04-2021,335.8,550.3,51.8,78.2,202
Bangalore,07-04-2021,75.9,80.9,18.7,43.2,299.4
Delhi,08-04-2021,102.6,334.3,82.1,32.6,35.3
Mumbai,08-04-2021,132.7,542.4,118.5,55.8,147.1
Chennai,08-04-2021,342.2,524.5,54.3,47.9,124.4
Kolkata,08-04-2021,65.3,62.5,43.9,77.6,246.6
Bangalore,08-04-2021,279.1,297.6,75.9,87,386.6
Delhi,09-04-2021,406.7,265,89.6,39.9,144
Mumbai,09-04-2021,473,95.7,73.5,31.3,143.1
Chennai,09-04-2021,114,456.2,32.3,86.9,60.6
Kolkata,09-04-2021,434.1,87.1,14.3,74.4,56.1
Bangalore,09-04-2021,272.4,417.7,13.3,80.1,209.9
